web-scraper-order,web-scraper-start-url,nama,deskripsi,foto-src,harga
"1520906778-43","https://www.phd.co.id/en/snacks","Puff Pastry Mushroom Cream Soup","Kelezatan krim sup dengan potongan mushroom berselimutkan puff pastry bikin kamu merasa hangat","https://static.phd.co.id/menu/PHD_id-Zuppa_soup.png","Rp 26,000"
"1520906778-48","https://www.phd.co.id/en/snacks","Pepchiz","Gurihnya pepperoni dan keju berbalut roti PHD dengan saus sambal yang unik bikin kamu gak bisa berhenti ngambil","https://static.phd.co.id/menu/PHD_id-Pepchiz_alacarte-1491895367.png","Rp 34,000"
"1520906778-51","https://www.phd.co.id/en/snacks","Garlic Holic Flatbread","Roti panggang dengan keju, garlic dan chicken luncheon. Gurih-gurih seru","https://static.phd.co.id/menu/PHD_id-Garlic_Holic_Flat_Bread.png","Rp 32,000"
"1520906778-49","https://www.phd.co.id/en/snacks","Surimi Wrap","Daging cincang ikan, udang dan ayam dibalut kulit tahu dengan saus hotmix.","https://static.phd.co.id/menu/PHD_id-Surimi_Wrap.png","Rp 36,000"
"1520906778-50","https://www.phd.co.id/en/snacks","Tuna Melt Flatbread","Roti panggang dengan irisan tuna, jagung, taburan parsley dan saus mayonnaise","https://static.phd.co.id/menu/PHD_id-Tuna_Melt.png","Rp 32,000"
"1520906778-46","https://www.phd.co.id/en/snacks","Fresh Salad","Kentang, Jelly, Melon, Jagung, Macaroni, Tomat, Wortel, Selada, Telur dan Saus Thousand Island. Lengkap dan menyegarkan","https://static.phd.co.id/menu/PHD_id-Salad.png","Rp 38,000"
"1520906778-47","https://www.phd.co.id/en/snacks","Cheesy Melt Potato","Potato Wedges bertabur peperoni renyah dengan lelehan BBQ & Cheese Sauce bikin kamu ketagihan","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/snack_cheesy_melt_potato.png","Rp 31,000"
"1520906778-42","https://www.phd.co.id/en/snacks","Chicken Sticks","Potongan daging ayam dengan bumbu jagung bakar dengan saus hotmix","https://static.phd.co.id/menu/PHD_id-Chicken_Sticks.png","Rp 34,000"
"1520906778-44","https://www.phd.co.id/en/snacks","Beef Sausage Bites 6 pcs","Sosis panggang dipadu saus barbekyu","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/snack_beef_sausage_bites.png","Rp 34,000"
"1520906778-45","https://www.phd.co.id/en/snacks","Menchi Balls 6 pcs","Perkedel daging sapi dan ayam ala Jepang","https://s3-ap-southeast-1.amazonaws.com/pizzahutidtest/menu/snack_menchi_balls.png","Rp 34,000"
